com.samsung.shealth.activity.day_summary,6000085,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,33360000,2018-07-15 04:00:01.532,6267.4106,11200,8935,5377600,1531612800000,avnWu77KPA,5388800,0,com.sec.android.app.shealth,2018-07-17 01:44:26.119,1341928,24738086-e4b3-4edb-bdc2-524d4fb82130,24738086-e4b3-4edb-bdc2-524d4fb82130.extra_data.json,277.74615
0,-1,27420000,2018-04-14 05:14:10.483,3388.7773,10002,4783,2743091,1523664000000,avnWu77KPA,2753093,0,com.sec.android.app.shealth,2018-04-14 23:17:00.877,692694,25114f54-eefc-4b57-bece-f5870418d259,25114f54-eefc-4b57-bece-f5870418d259.extra_data.json,149.9493
0,-1,32220000,2018-03-19 04:00:13.836,8643.995,400,12090,6542169,1521417600000,avnWu77KPA,6542569,0,com.sec.android.app.shealth,2018-03-20 03:30:02.908,1442025,252dca91-c4cd-4bf7-93c5-87fa4559efbe,252dca91-c4cd-4bf7-93c5-87fa4559efbe.extra_data.json,383.22403
0,-1,24060000,2018-04-12 04:01:18.618,5909.9897,34718,8236,4845696,1523491200000,avnWu77KPA,4880414,0,com.sec.android.app.shealth,2018-04-13 03:24:00.746,1274502,25a00914-0772-476c-9ac3-13b811d4a086,25a00914-0772-476c-9ac3-13b811d4a086.extra_data.json,270.13217
0,-1,26040000,2018-05-02 04:00:52.189,8763.043,4593,12448,7216058,1525219200000,avnWu77KPA,7220651,0,com.sec.android.app.shealth,2018-05-03 03:33:47.453,1354739,262ad396-8455-4125-a392-f2a215f9c45d,262ad396-8455-4125-a392-f2a215f9c45d.extra_data.json,391.8041
0,-1,42300000,2017-07-07 04:00:00.450,9172.222,63480,13038,7179525,1499385600000,avnWu77KPA,7243005,0,com.sec.android.app.shealth,2017-07-08 03:35:00.527,980000,26c08225-a5d9-43e1-8483-d99105f454b1,26c08225-a5d9-43e1-8483-d99105f454b1.extra_data.json,401.3003
0,-1,33480000,2018-07-10 04:01:01.663,6231.6714,8667,8932,5149310,1531180800000,avnWu77KPA,5157977,0,com.sec.android.app.shealth,2018-07-11 02:31:01.575,826886,27b99dba-9411-40fb-9d81-c4d7b00fe8ca,27b99dba-9411-40fb-9d81-c4d7b00fe8ca.extra_data.json,280.40698
0,-1,-1,2017-04-13 12:53:40.775,0.0,0,0,0,1490572800000,avnWu77KPA,0,0,com.sec.android.app.shealth,2017-04-13 12:53:40.775,0,2838b550-3245-4d75-95a1-efd4017cd141,2838b550-3245-4d75-95a1-efd4017cd141.extra_data.json,0.0
0,-1,-1,2017-04-13 12:53:40.247,0.0,0,0,0,1489708800000,avnWu77KPA,0,0,com.sec.android.app.shealth,2017-04-13 12:53:40.247,0,2898b6fd-19ac-47b4-9292-780e6ec65cb9,2898b6fd-19ac-47b4-9292-780e6ec65cb9.extra_data.json,0.0
0,-1,-1,2017-04-13 12:53:40.348,0.0,0,0,0,1489881600000,avnWu77KPA,0,0,com.sec.android.app.shealth,2017-04-13 12:53:40.348,0,28a8b176-54cc-48db-a4e9-4a668f132d36,28a8b176-54cc-48db-a4e9-4a668f132d36.extra_data.json,0.0
