create_time	distance	time_offset	count	speed	calorie
1533948032.561	53.55	UTC-0400	76	1.2777778	2.28
1532066509.259	78.71	UTC-0300	112	1.3118334	3.36
1533079454.99	90.92	UTC-0300	124	1.5555556	3.72
1533186909.36	57.81	UTC-0300	83	1.1944444	2.49
1533540093.055	16.53	UTC-0300	24	1.2777778	0.73
1534585912.196	11.75	UTC-0500	15	1.6388888	0.53
1531246522.43	77.96	UTC-0300	111	1.2993333	3.33
1534888496.179	77.82	UTC-0300	111	1.2969999	3.33
1532150095.167	29.63	UTC-0300	41	1.5833334	1.24
1534570686.012	25.22	UTC-0500	56	1.1388888	3.04
1534308897.705	15.58	UTC-0500	22	1.3333334	0.66
1532494581.435	43.78	UTC-0300	61	1.4166666	1.82
1531108028.292	4.54	UTC-0300	6	1.7777778	0.17
1534196950.29	56.32	UTC-0400	83	1.3333334	2.48
1531772102.08	80.37	UTC-0300	115	1.3395001	3.449998
1534492498.342	74.58	UTC-0500	111	1.3611112	3.33
1531776573.995	48.600002	UTC-0300	70	1.171993	2.1
1532823297.881	26.18	UTC-0300	36	1.5277778	1.08
1532309700.86	79.65	UTC-0300	115	1.3275001	3.45
1532066991.582	78.4	UTC-0300	112	1.3066666	3.36
1534493268.888	4.9	UTC-0500	7	1.3611112	0.21
1534804986.238	88.15	UTC-0300	124	1.4691666	3.72
1532306099.53	75.63	UTC-0300	108	1.2605	3.24
1532489458.09	9.33	UTC-0300	7	1.8055555	0.58
1532394899.22	86.62	UTC-0300	124	1.4436667	3.72
1533006814.344	77.18	UTC-0300	109	1.3333334	3.27
1534317630.237	45.4	UTC-0500	89	1.0833334	4.4
1534655723.427	81.43	UTC-0300	113	1.4444444	3.39
1531777836.328	84.16	UTC-0300	120	1.4026667	3.6
1534655833.854	81.07	UTC-0300	113	1.4166666	3.39
1533940180.814	24.21	UTC-0400	34	1.3611112	1.01
1533777084.413	58.579998	UTC-0400	79	1.4558122	2.4299998
1533274513.441	52.02	UTC-0300	76	1.1111112	2.28
1531964221.52	91.26	UTC-0300	120	1.7222222	3.77
1531020069.716	12.09	UTC-0600	16	1.7777778	0.46
